movie_id,title,genres
1,Toy Story,Animation|Childrens|Comedy
2,GoldenEye,Action|Adventure|Thriller
3,Four Rooms,Thriller
4,Get Shorty,Action|Comedy|Drama
5,Copycat,Crime|Drama|Thriller
6,Shanghai Triad (Yao a yao yao dao waipo qiao),Drama
7,Twelve Monkeys,Drama|Sci-Fi
8,Babe,Childrens|Comedy|Drama
9,Dead Man Walking,Drama
10,Richard III,Drama|War
11,Seven (Se7en),Crime|Thriller
12,"Usual Suspects, The",Crime|Thriller
13,Mighty Aphrodite,Comedy
14,"Postino, Il",Drama|Romance
15,Mr. Holland's Opus,Drama
16,French Twist (Gazon maudit),Comedy|Romance
17,From Dusk Till Dawn,Action|Comedy|Crime|Horror|Thriller
18,"White Balloon, The",Drama
19,Antonia's Line,Drama
20,Angels and Insects,Drama|Romance
21,Muppet Treasure Island,Action|Adventure|Comedy|Musical|Thriller
22,Braveheart,Action|Drama|War
23,Taxi Driver,Drama|Thriller
24,Rumble in the Bronx,Action|Adventure|Crime
25,"Birdcage, The",Comedy
26,"Brothers McMullen, The",Comedy
27,Bad Boys,Action
28,Apollo 13,Action|Drama|Thriller
29,Batman Forever,Action|Adventure|Comedy|Crime
30,Belle de jour,Drama
31,Crimson Tide,Drama|Thriller|War
32,Crumb,Documentary
33,Desperado,Action|Romance|Thriller
34,"Doom Generation, The",Comedy|Drama
35,Free Willy 2: The Adventure Home,Adventure|Childrens|Drama
36,Mad Love,Drama|Romance
37,Nadja,Drama
38,"Net, The",Sci-Fi|Thriller
39,Strange Days,Action|Crime|Sci-Fi
40,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
41,Billy Madison,Comedy
42,Clerks,Comedy
43,Disclosure,Drama|Thriller
44,Dolores Claiborne,Drama|Thriller
45,Eat Drink Man Woman,Comedy|Drama
46,Exotica,Drama
47,Ed Wood,Comedy|Drama
48,Hoop Dreams,Documentary
49,I.Q.,Comedy|Romance
50,Star Wars,Action|Adventure|Romance|Sci-Fi|War
51,Legends of the Fall,Drama|Romance|War|Western
52,"Madness of King George, The",Drama
53,Natural Born Killers,Action|Thriller
54,Outbreak,Action|Drama|Thriller
55,"Professional, The",Crime|Drama|Romance|Thriller
56,Pulp Fiction,Crime|Drama
57,Priest,Drama
58,Quiz Show,Drama
59,Three Colors: Red,Drama
60,Three Colors: Blue,Drama
61,Three Colors: White,Drama
62,Stargate,Action|Adventure|Sci-Fi
63,"Santa Clause, The",Childrens|Comedy
64,"Shawshank Redemption, The",Drama
65,What's Eating Gilbert Grape,Comedy|Drama
66,While You Were Sleeping,Comedy|Romance
67,Ace Ventura: Pet Detective,Comedy
68,"Crow, The",Action|Romance|Thriller
69,Forrest Gump,Comedy|Romance|War
70,Four Weddings and a Funeral,Comedy|Romance
71,"Lion King, The",Animation|Childrens|Musical
72,"Mask, The",Comedy|Crime|Fantasy
73,Maverick,Action|Comedy|Western
74,Faster Pussycat! Kill! Kill!,Action|Comedy|Drama
75,Brother Minister: The Assassination of Malcolm X,Documentary
76,Carlito's Way,Crime|Drama
77,"Firm, The",Drama|Thriller
78,Free Willy,Adventure|Childrens|Drama
79,"Fugitive, The",Action|Thriller
80,Hot Shots! Part Deux,Action|Comedy|War
81,"Hudsucker Proxy, The",Comedy|Romance
82,Jurassic Park,Action|Adventure|Sci-Fi
83,Much Ado About Nothing,Comedy|Romance
84,Robert A. Heinlein's The Puppet Masters,Horror|Sci-Fi
85,"Ref, The",Comedy
86,"Remains of the Day, The",Drama
87,Searching for Bobby Fischer,Drama
88,Sleepless in Seattle,Comedy|Romance
89,Blade Runner,Film-Noir|Sci-Fi
90,So I Married an Axe Murderer,Comedy|Romance|Thriller
91,"Nightmare Before Christmas, The",Childrens|Comedy|Musical
92,True Romance,Action|Crime|Romance
93,Welcome to the Dollhouse,Comedy|Drama
94,Home Alone,Childrens|Comedy
95,Aladdin,Animation|Childrens|Comedy|Musical
96,Terminator 2: Judgment Day,Action|Sci-Fi|Thriller
97,Dances with Wolves,Adventure|Drama|Western
98,"Silence of the Lambs, The",Drama|Thriller
99,Snow White and the Seven Dwarfs,Animation|Childrens|Musical
100,Fargo,Crime|Drama|Thriller
101,Heavy Metal,Action|Adventure|Animation|Horror|Sci-Fi
102,"Aristocats, The",Animation|Childrens
103,All Dogs Go to Heaven 2,Animation|Childrens|Musical
104,Theodore Rex,Comedy
105,Sgt. Bilko,Comedy
106,Diabolique,Drama|Thriller
107,Moll Flanders,Drama
108,Kids in the Hall: Brain Candy,Comedy
109,Mystery Science Theater 3000: The Movie,Comedy|Sci-Fi
110,Operation Dumbo Drop,Action|Adventure|Comedy|War
111,"Truth About Cats & Dogs, The",Comedy|Romance
112,Flipper,Adventure|Childrens
113,"Horseman on the Roof, The (Hussard sur le toit, Le)",Drama
114,Wallace & Gromit: The Best of Aardman Animation,Animation
115,"Haunted World of Edward D. Wood Jr., The",Documentary
116,Cold Comfort Farm,Comedy
117,"Rock, The",Action|Adventure|Thriller
118,Twister,Action|Adventure|Thriller
119,Maya Lin: A Strong Clear Vision,Documentary
120,Striptease,Comedy|Crime
121,Independence Day (ID4),Action|Sci-Fi|War
122,"Cable Guy, The",Comedy
123,"Frighteners, The",Comedy|Horror
124,Lone Star,Drama|Mystery
125,Phenomenon,Drama|Romance
126,"Spitfire Grill, The",Drama
127,"Godfather, The",Action|Crime|Drama
128,Supercop,Action|Thriller
129,Bound,Crime|Drama|Romance|Thriller
130,Kansas City,Crime
131,Breakfast at Tiffany's,Drama|Romance
132,"Wizard of Oz, The",Adventure|Childrens|Drama|Musical
133,Gone with the Wind,Drama|Romance|War
134,Citizen Kane,Drama
135,2001: A Space Odyssey,Drama|Mystery|Sci-Fi|Thriller
136,Mr. Smith Goes to Washington,Drama
137,Big Night,Drama
138,D3: The Mighty Ducks,Childrens|Comedy
139,"Love Bug, The",Childrens|Comedy
140,Homeward Bound: The Incredible Journey,Adventure|Childrens
141,"20,000 Leagues Under the Sea",Adventure|Childrens|Fantasy|Sci-Fi
142,Bedknobs and Broomsticks,Adventure|Childrens|Musical
143,"Sound of Music, The",Musical
144,Die Hard,Action|Thriller
145,"Lawnmower Man, The",Action|Sci-Fi|Thriller
146,Unhook the Stars,Drama
147,"Long Kiss Goodnight, The",Action|Thriller
148,"Ghost and the Darkness, The",Action|Adventure
149,Jude,Drama
150,Swingers,Comedy|Drama
151,Willy Wonka and the Chocolate Factory,Adventure|Childrens|Comedy
152,Sleeper,Comedy|Sci-Fi
153,"Fish Called Wanda, A",Comedy
154,Monty Python's Life of Brian,Comedy
155,Dirty Dancing,Musical|Romance
156,Reservoir Dogs,Crime|Thriller
157,Platoon,Drama|War
158,Weekend at Bernie's,Comedy
159,Basic Instinct,Mystery|Thriller
160,Glengarry Glen Ross,Drama
161,Top Gun,Action|Romance
162,On Golden Pond,Drama
163,"Return of the Pink Panther, The",Comedy
164,"Abyss, The",Action|Adventure|Sci-Fi|Thriller
165,Jean de Florette,Drama
166,Manon of the Spring (Manon des sources),Drama
167,Private Benjamin,Comedy
168,Monty Python and the Holy Grail,Comedy
169,"Wrong Trousers, The",Animation|Comedy
170,Cinema Paradiso,Comedy|Drama|Romance
171,Delicatessen,Comedy|Sci-Fi
172,"Empire Strikes Back, The",Action|Adventure|Drama|Romance|Sci-Fi|War
173,"Princess Bride, The",Action|Adventure|Comedy|Romance
174,Raiders of the Lost Ark,Action|Adventure
175,Brazil,Sci-Fi
176,Aliens,Action|Sci-Fi|Thriller|War
177,"Good, The Bad and The Ugly, The",Action|Western
178,12 Angry Men,Drama
179,"Clockwork Orange, A",Sci-Fi
180,Apocalypse Now,Drama|War
181,Return of the Jedi,Action|Adventure|Romance|Sci-Fi|War
182,GoodFellas,Crime|Drama
183,Alien,Action|Horror|Sci-Fi|Thriller
184,Army of Darkness,Action|Adventure|Comedy|Horror|Sci-Fi
185,Psycho,Horror|Romance|Thriller
186,"Blues Brothers, The",Action|Comedy|Musical
187,"Godfather: Part II, The",Action|Crime|Drama
